"","x"
"9796","en"
"9797","WINNIPEG"
"9798","en"
"9799","fr"
"9800","de"
"9801","GAT"
"9802","en"
"9803","nl"
"9804","pl"
"9805","WITHYCOMBE"
"9806","en"
"9807","CURYLL"
"9808","cy"
"9809","WITLA"
"9810","sk"
"9811","EHEDYDD"
"9812","cy"
"9813","WOLFS"
"9814","en"
"9815","de"
"9816","nl"
"9817","HALLIARD"
"9818","en"
"9819","PARC-Y-GELLI"
"9820","cy"
"9821","en"
"9822","fr"
"9823","BARQUENTINE"
"9824","en"
"9825","BWLCHYGWYNT"
"9826","cy"
"9827","WOODFIELD"
"9828","en"
"9829","NEWPORT"
"9830","en"
"9831","de"
"9832","pl"
"9833","JANION"
"9834","pl"
"9835","WOODFORD"
"9836","en"
"9837","GRAYNOR"
"9838","la"
"9839","WOODLAND"
"9840","en"
"9841","NANTYREOS"
"9842","ny"
"9843","LLYSALAW"
"9844","fi"
"9845","WOODLAWN"
"9846","en"
"9847","AROS"
"9848","es"
"9849","pt"
"9850","pl"
"9851","WOODSIDE"
"9852","gd"
"9853","CRESSELLY"
"9854","en"
"9855","WOODVALE"
"9856","en"
"9857","WOOLASTON"
"9858","en"
"9859","NORTHERN"
"9860","en"
"9861","da"
"9862","gd"
"9863","GWILI"
"9864","cy"
"9865","WOOLMER"
"9866","wo"
"9867","WINDLAS"
"9868","nl"
"9869","WORCESTER"
"9870","en"
"9871","de"
"9872","pl"
"9873","MANON"
"9874","fr"
"9875","tr"
"9876","nl"
"9877","COEDLAN"
"9878","cy"
"9879","SGRECH"
"9880","cy"
"9881","WORLE"
"9882","en"
"9883","DRINDOD"
"9884","cy"
"9885","WAUNGRON"
"9886","sn"
"9887","WREN"
"9888","en"
"9889","CWARRE"
"9890","no"
"9891","WROUGHTON"
"9892","en"
"9893","GIGFRAN"
"9894","cy"
"9895","WYEVERNE"
"9896","da"
"9897","GWENDRAETH"
"9898","cy"
"9899","WYFAN"
"9900","sk"
"9901","ANRON"
"9902","mfe"
"9903","WYNNSTAY"
"9904","cy"
"9905","CLOMENDY"
"9906","YEWTREE"
"9907","en"
"9908","DELME"
"9909","tr"
"9910","sk"
"9911","ca"
"9912","MASWR"
"9913","cy"
"9914","ABERBRAN"
"9915","en"
"9916","BOWEN"
"9917","en"
"9918","nl"
"9919","ga"
"9920","ABERDORE"
"9921","sq"
"9922","BERGIERS"
"9923","en"
"9924","ADDISON"
"9925","en"
"9926","it"
"9927","sv"
"9928","CORSYDD"
"9929","cy"
"9930","AGATE"
"9931","en"
"9932","pt"
"9933","fr"
"9934","ALDERWOOD"
"9935","en"
"9936","ALDWYCH"
"9937","cs"
"9938","BOLAHAUL"
"9939","tk"
"9940","ALLAN"
"9941","en"
"9942","fr"
"9943","tr"
"9944","POWND"
"9945","cy"
"9946","AMBER"
"9947","en"
"9948","pt"
"9949","fr"
"9950","LLWYNGWERN"
"9951","cy"
"9952","AMBERWOOD"
"9953","en"
"9954","BUTETOWN"
"9955","cy"
"9956","EMLYN"
"9957","cy"
"9958","AMBLESIDE"
"9959","et"
"9960","BRYNGWIDDIL"
"9961","cy"
"9962","AMYAS"
"9963","war"
"9964","GWYNAN"
"9965","cy"
"9966","ANDREW'S"
"9967","en"
"9968","FFIN"
"9969","cy"
"9970","ANGLESEY"
"9971","en"
"9972","ca"
"9973","TOWN"
"9974","en"
"9975","nl"
"9976","pl"
"9977","CYNIN"
"9978","cy"
"9979","DOLFACH"
"9980","eo"
"9981","APPLEWOOD"
"9982","en"
"9983","GLO"
"9984","sk"
"9985","sv"
"9986","da"
"9987","ARGYLE"
"9988","en"
"9989","CWMFELIN"
"9990","cy"
"9991","ARLINGTON"
"9992","en"
"9993","fr"
"9994","ga"
"9995","PANTMAWR"
"9996","cy"
"9997","ARNSIDE"
"9998","en"
"9999","LLEWOD"
"10000","cy"
"10001","ARROL"
"10002","en"
"10003","MEBYD"
"10004","cy"
"10005","ARUNDEL"
"10006","en"
"10007","AELYBRYN"
"10008","cy"
"10009","ASGOG"
"10010","gd"
"10011","AMANWY"
"10012","cy"
"10013","PRECINCT"
"10014","en"
"10015","ASHDENE"
"10016","fi"
"10017","MORLAIS"
"10018","cy"
"10019","ASHFIELD"
"10020","en"
"10021","ASHGROVE"
"10022","cy"
"10023","ASPEN"
"10024","en"
"10025","es"
"10026","sv"
"10027","TYWI"
"10028","cy"
"10029","ASTORIA"
"10030","en"
"10031","de"
"10032","it"
"10033","BANCYLLAN"
"10034","tk"
"10035","BANC-Y-DDRAENEN"
"10036","cy"
"10037","en"
"10038","fr"
"10039","AUBREY"
"10040","en"
"10041","cy"
"10042","BANCYFFYNNON"
"10043","cy"
"10044","AUSTEN"
"10045","en"
"10046","nl"
"10047","pl"
"10048","BARDD"
"10049","cy"
"10050","AVOCA"
"10051","es"
"10052","pt"
"10053","it"
"10054","BLAENWERN"
"10055","cy"
"10056","AVONMUIR"
"10057","en"
"10058","CAEBANC"
"10059","en"
"10060","AXMINSTER"
"10061","en"
"10062","BONLLWYN"
"10063","cy"
"10064","BABER"
"10065","en"
"10066","pt"
"10067","MANSEL"
"10068","cy"
"10069","et"
"10070","BADER"
"10071","fr"
"10072","de"
"10073","nl"
"10074","BRANDYWAY"
"10075","en"
"10076","BALMORAL"
"10077","en"
"10078","sv"
"10079","da"
"10080","BANKSIDE"
"10081","da"
"10082","no"
"10083","CELYNIN"
"10084","cy"
"10085","BARNARD"
"10086","en"
"10087","fr"
"10088","nl"
"10089","DAUDDWR"
"10090","lv"
"10091","BARNWOOD"
"10092","nl"
"10093","BRODULAIS"
"10094","en"
"10095","BASSALEG"
"10096","no"
"10097","EINON"
"10098","cy"
"10099","BATCHELOR"
"10100","en"
"10101","PEN-HILL"
"10102","en"
"10103","pt"
"10104","eu"
"10105","GWEN"
"10106","en"
"10107","fr"
"10108","nl"
"10109","BAYNTON"
"10110","so"
"10111","DOMINIONS"
"10112","en"
"10113","fr"
"10114","nl"
"10115","PENLLINE"
"10116","cy"
"10117","MARLAIS"
"10118","cy"
"10119","CAPITOL"
"10120","en"
"10121","pt"
"10122","pl"
"10123","BRO-NANTLAIS"
"10124","cy"
"10125","en"
"10126","sk"
"10127","BEATRICE"
"10128","en"
"10129","pt"
"10130","de"
"10131","GADEIRIOL"
"10132","cy"
"10133","RHYDYBONT"
"10134","cy"
"10135","BEDAVERE"
"10136","en"
"10137","RYAN"
"10138","en"
"10139","fr"
"10140","nl"
"10141","BEDWAS"
"10142","cy"
"10143","SARNAU"
"10144","cy"
"10145","et"
"10146","SCHOLARS"
"10147","en"
"10148","HENGIL"
"10149","is"
"10150","BERTHWIN"
"10151","ms"
"10152","BRODAWEL"
"10153","xh"
"10154","BRUNEL"
"10155","en"
"10156","nl"
"10157","da"
"10158","BROHAWDDGAR"
"10159","cy"
"10160","BISHOPS'"
"10161","en"
"10162","HIRLAS"
"10163","cy"
"10164","BLACKSTONE"
"10165","en"
"10166","BRONGWENDRAETH"
"10167","cy"
"10168","BLAENAVON"
"10169","cy"
"10170","BRYNELLI"
"10171","is"
"10172","BLAGDON"
"10173","war"
"10174","EURAIDD"
"10175","cy"
"10176","BLOOM"
"10177","en"
"10178","fr"
"10179","nl"
"10180","GWDIG"
"10181","cy"
"10182","LOCIAU"
"10183","cy"
"10184","BRYNGWENLLIAN"
"10185","cy"
"10186","BRYNRHOS"
"10187","cy"
"10188","BARRI"
"10189","pt"
"10190","fr"
"10191","it"
"10192","MACSEN"
"10193","hu"
"10194","cy"
"10195","BOVERTON"
"10196","nl"
"10197","BRYNGAER"
"10198","cy"
"10199","BRADLEY"
"10200","en"
"10201","fr"
"10202","nl"
"10203","CORVETTE"
"10204","en"
"10205","fr"
"10206","it"
"10207","BRYN-Y-WAWR"
"10208","cy"
"10209","sv"
"10210","da"
"10211","BRAMBLE"
"10212","en"
"10213","da"
"10214","AMLWG"
"10215","cy"
"10216","BRAYFORD"
"10217","jw"
"10218","ELAI"
"10219","pt"
"10220","cy"
"10221","eu"
"10222","CARWAY"
"10223","en"
"10224","BRENDON"
"10225","sr"
"10226","hu"
"10227","BRYNCAERAU"
"10228","cy"
"10229","BRIAR"
"10230","en"
"10231","no"
"10232","BRYNCEUNANT"
"10233","su"
"10234","BRIARWOOD"
"10235","en"
"10236","BRYNDEDWYDDFA"
"10237","cy"
"10238","CALLAGHAN"
"10239","en"
"10240","ga"
"10241","gd"
"10242","BRYNDERWEN"
"10243","lb"
"10244","BROADFIELD"
"10245","en"
"10246","CARLOTTA"
"10247","en"
"10248","fr"
"10249","it"
"10250","BRYNDULAIS"
"10251","is"
"10252","BROADLANDS"
"10253","en"
"10254","BRYNEDDA"
"10255","cy"
"10256","BROADWELL"
"10257","en"
"10258","BRYNEITHIN"
"10259","cy"
"10260","BROCKHAMPTON"
"10261","en"
"10262","BRYNLLUAN"
"10263","cy"
"10264","BROOKLYN"
"10265","en"
"10266","pt"
"10267","fr"
"10268","BRYNMEAD"
"10269","is"
"10270","BROOKVIEW"
"10271","en"
"10272","SIANDLER"
"10273","xh"
"10274","BRYNMEFYS"
"10275","cy"
"10276","BROWNING"
"10277","en"
"10278","fr"
"10279","nl"
"10280","VELLACOTT"
"10281","da"
"10282","BRYNMEURIG"
"10283","fr"
"10284","BRUTON"
"10285","ga"
"10286","gd"
"10287","eu"
"10288","BRYNSEILO"
"10289","is"
"10290","BRYNSIERFEL"
"10291","cy"
"10292","BRYNTYWI"
"10293","cy"
"10294","BUCKINGHAM"
"10295","en"
"10296","de"
"10297","pl"
"10298","BRYNYMOR"
"10299","cy"
"10300","BULRUSH"
"10301","en"
"10302","da"
"10303","FRITHEG"
"10304","en"
"10305","BURGES"
"10306","da"
"10307","ca"
"10308","eu"
"10309","TIRNANT"
"10310","ia"
"10311","BURLINGTON"
"10312","en"
"10313","BURNE"
"10314","pt"
"10315","fr"
"10316","sl"
"10317","COCHEN"
"10318","de"
"10319","TIRAERON"
"10320","lg"
"10321","CAEGLAS"
"10322","za"
"10323","TACOMA"
"10324","en"
"10325","pl"
"10326","ca"
"10327","MARSHLANDS"
"10328","en"
"10329","CAERWENT"
"10330","cy"
"10331","ANTURIAETHWYR"
"10332","cy"
"10333","DRAIN"
"10334","en"
"10335","fr"
"10336","nl"
"10337","CAMROSE"
"10338","la"
"10339","COTTON"
"10340","en"
"10341","fr"
"10342","pl"
"10343","CANASTON"
"10344","en"
"10345","CAECOED"
"10346","la"
"10347","CARAWAY"
"10348","en"
"10349","DUNLEAVY"
"10350","ga"
"10351","gd"
"10352","CAEDOLAU"
"10353","la"
"10354","CARYS"
"10355","fr"
"10356","cy"
"10357","CAEFFYNNON"
"10358","cy"
"10359","CASWELL"
"10360","xh"
"10361","GAR"
"10362","en"
"10363","de"
"10364","tr"
"10365","CAXTON"
"10366","en"
"10367","pl"
"10368","CEDAR"
"10369","en"
"10370","pt"
"10371","sr"
"10372","QUEEN"
"10373","en"
"10374","de"
"10375","pl"
"10376","CAEMAWR"
"10377","za"
"10378","CEFN-PORTH"
"10379","cy"
"10380","CAERWENOG"
"10381","cy"
"10382","CHANCERY"
"10383","en"
"10384","da"
"10385","LONGUEIL"
"10386","ie"
"10387","CARNHYWEL"
"10388","mt"
"10389","CHARD"
"10390","en"
"10391","CARREGAMAN"
"10392","ca"
"10393","CHARTLEY"
"10394","en"
"10395","CEFNBRITH"
"10396","cy"
"10397","CHAUCER"
"10398","en"
"10399","pl"
"10400","ga"
"10401","HENKE"
"10402","nl"
"10403","CEFNCRUG"
"10404","cy"
"10405","CHEPSTOW"
"10406","na"
"10407","DDAFEN"
"10408","cy"
"10409","CHERRYDOWN"
"10410","en"
"10411","MAGRETIAN"
"10412","en"
"10413","FAINC"
"10414","cy"
"10415","CHESHIRE"
"10416","en"
"10417","ga"
"10418","sk"
"10419","ELMS"
"10420","en"
"10421","sv"
"10422","da"
"10423","CHICHESTER"
"10424","en"
"10425","pl"
"10426","ca"
"10427","SILWRIAID"
"10428","cy"
"10429","CILSAIG"
"10430","sq"
"10431","CHULMLEIGH"
"10432","en"
"10433","MEDI"
"10434","pt"
"10435","it"
"10436","sk"
"10437","PLUGUEN"
"10438","es"
"10439","CLARBESTON"
"10440","en"
"10441","CLEEVE"
"10442","sco"
"10443","CLIFF"
"10444","en"
"10445","fr"
"10446","nl"
"10447","COED-Y-FELIN"
"10448","cy"
"10449","da"
"10450","pl"
"10451","HAVANNAH"
"10452","ik"
"10453","COEDMAWR"
"10454","cy"
"10455","MAESYGROES"
"10456","af"
"10457","SOUDREY"
"10458","da"
"10459","GRAIGWEN"
"10460","na"
"10461","CRYCHIAU"
"10462","cy"
"10463","CWMCATTY"
"10464","en"
"10465","ELUSENDY"
"10466","cy"
"10467","CLOVER"
"10468","en"
"10469","FALCON"
"10470","en"
"10471","cs"
"10472","no"
"10473","DANDORLAN"
"10474","om"
"10475","CLYDACH"
"10476","cy"
"10477","DANYBANC"
"10478","pl"
"10479","CLYRO"
"10480","lt"
"10481","DANYCWM"
"10482","cy"
"10483","COATES"
"10484","en"
"10485","pt"
"10486","ga"
"10487","DANYRALLT"
"10488","lb"
"10489","COEDCAE"
"10490","cy"
"10491","DERWENDEG"
"10492","lb"
"10493","COGAN"
"10494","ga"
"10495","gd"
"10496","cy"
"10497","BRAN"
"10498","en"
"10499","fr"
"10500","ga"
"10501","COMET"
"10502","en"
"10503","ca"
"10504","TOWY"
"10505","sco"
"10506","COMPTON"
"10507","en"
"10508","pl"
"10509","sl"
"10510","DOLAWEL"
"10511","cy"
"10512","COPLESTON"
"10513","en"
"10514","DREONEN"
"10515","fy"
"10516","CORMORANT"
"10517","en"
"10518","CORNISH"
"10519","en"
"10520","pl"
"10521","DWYNANT"
"10522","cy"
"10523","CORNWOOD"
"10524","nl"
"10525","EIDDIL"
"10526","cy"
"10527","ESGAIRWEN"
"10528","lb"
"10529","COSSLETT"
"10530","ga"
"10531","gd"
"10532","COTTAGE"
"10533","en"
"10534","fr"
"10535","it"
"10536","FELINFACH"
"10537","de"
"10538","MOOR"
"10539","en"
"10540","de"
"10541","nl"
"10542","ANEURIN"
"10543","en"
"10544","da"
"10545","cy"
"10546","COWPER"
"10547","en"
"10548","cy"
"10549","eu"
"10550","FFORESTFACH"
"10551","en"
"10552","CRADOC"
"10553","en"
"10554","SMART"
"10555","en"
"10556","fr"
"10557","de"
"10558","FFOSCEILIOG"
"10559","hmn"
"10560","CRAIGMUIR"
"10561","FFRWDWEN"
"10562","cy"
"10563","CRANLEIGH"
"10564","ga"
"10565","FRONHAUL"
"10566","cy"
"10567","CRAWLEY"
"10568","ca"
"10569","GARDDE"
"10570","en"
"10571","CRESSY"
"10572","en"
"10573","SUBURBS"
"10574","en"
"10575","lt"
"10576","GARNFOEL"
"10577","su"
"10578","GELLIDEG"
"10579","cy"
"10580","WRIDDON"
"10581","en"
"10582","CURLL"
"10583","st"
"10584","MARBELL"
"10585","en"
"10586","CWMCARN"
"10587","ga"
"10588","GER-Y-CASTELL"
"10589","cy"
"10590","ca"
"10591","eu"
"10592","CYMMER"
"10593","cy"
"10594","GER-Y-MAES"
"10595","nl"
"10596","cy"
"10597","da"
"10598","GER-Y-NANT"
"10599","cy"
"10600","en"
"10601","es"
"10602","DAN"
"10603","id"
"10604","GLANTAWELAN"
"10605","en"
"10606","SCHOONER"
"10607","en"
"10608","fr"
"10609","GLANTOWY"
"10610","pl"
"10611","DAVIES"
"10612","en"
"10613","nl"
"10614","pl"
"10615","GLANWERN"
"10616","na"
"10617","DAVIS"
"10618","en"
"10619","pt"
"10620","fr"
"10621","GLYNDERI"
"10622","vo"
"10623","DEEPDENE"
"10624","kha"
"10625","GOLWGFOR"
"10626","cy"
"10627","DEGANWY"
"10628","cy"
"10629","GOLYGFOR"
"10630","cy"
"10631","DENBIGH"
"10632","so"
"10633","GORSFACH"
"10634","DESSMUIR"
"10635","ga"
"10636","DIGBY"
"10637","ga"
"10638","gd"
"10639","CWNIN"
"10640","az"
"10641","DOGO"
"10642","es"
"10643","it"
"10644","cs"
"10645","HARDDFAN"
"10646","cy"
"10647","DOMBEY"
"10648","su"
"10649","DOUGLAS"
"10650","en"
"10651","pt"
"10652","fr"
"10653","AFALLON"
"10654","cy"
"10655","DOVEY"
"10656","vo"
"10657","SHIP"
"10658","en"
"10659","ga"
"10660","AMAN"
"10661","es"
"10662","tr"
"10663","nl"
"10664","DRAWLINGS"
"10665","en"
"10666","BANCYROFFIS"
"10667","id"
"10668","BECA"
"10669","es"
"10670","pt"
"10671","ca"
"10672","DRYBROOK"
"10673","wo"
"10674","BEILI-GLAS"
"10675","cy"
"10676","es"
"10677","fr"
"10678","DRYDEN"
"10679","en"
"10680","pl"
"10681","cy"
"10682","BLAENGWASTOD"
"10683","cy"
"10684","DULVERTON"
"10685","eo"
"10686","BLAENHIRWAUN"
"10687","cy"
"10688","DUMMER"
"10689","de"
"10690","sv"
"10691","da"
"10692","SLOPER"
"10693","nl"
"10694","BROWN"
"10695","en"
"10696","es"
"10697","pt"
"10698","DUNKERY"
"10699","de"
"10700","BRYNHAUL"
"10701","cy"
"10702","DUNSMUIR"
"10703","sco"
"10704","DURHAM"
"10705","en"
"10706","ga"
"10707","da"
"10708","CAE-DU"
"10709","es"
"10710","cy"
"10711","ga"
"10712","DURLSTON"
"10713","en"
"10714","DYNEVOR"
"10715","en"
"10716","ABERYSTWYTH"
"10717","cy"
"10718","CENNEN"
"10719","cy"
"10720","EARLS"
"10721","en"
"10722","de"
"10723","nl"
"10724","SOUTHERN"
"10725","en"
"10726","CWMBACH"
"10727","id"
"10728","EARLSWOOD"
"10729","en"
"10730","CWMMAWR"
"10731","ha"
"10732","EDINGTON"
"10733","en"
"10734","SPLOTT"
"10735","sl"
"10736","DINBYCH"
"10737","cy"
"10738","DISGWYLFA"
"10739","cy"
"10740","EGHAM"
"10741","en"
"10742","ELAINE"
"10743","en"
"10744","pt"
"10745","fr"
"10746","DYDDGEN"
"10747","cy"
"10748","ELDER"
"10749","en"
"10750","gd"
"10751","no"
"10752","DYFATTY"
"10753","en"
"10754","ELLESMERE"
"10755","en"
"10756","ca"
"10757","cy"
"10758","DYFNALLT"
"10759","cy"
"10760","ELMFIELD"
"10761","nl"
"10762","ELISABETH"
"10763","en"
"10764","de"
"10765","nl"
"10766","EMERALD"
"10767","en"
"10768","nl"
"10769","ELLI"
"10770","da"
"10771","lv"
"10772","cy"
"10773","ENNERDALE"
"10774","it"
"10775","FFYNNONAU"
"10776","cy"
"10777","EPSTEIN"
"10778","en"
"10779","fr"
"10780","pl"
"10781","GELYNEN"
"10782","hu"
"10783","ESSICH"
"10784","gd"
"10785","GOFFA"
"10786","it"
"10787","cy"
"10788","EURWG"
"10789","cy"
"10790","GWERNFELEN"
"10791","cy"
"10792","EXFORD"
"10793","en"
"10794","GWYR"
"10795","cy"
"10796","FAIRBROOK"
"10797","en"
"10798","HATHREN"
"10799","ga"
"10800","FAIRFAX"
"10801","en"
"10802","HAYDN"
"10803","en"
"10804","fr"
"10805","de"
"10806","FAIRTHORN"
"10807","en"
"10808","LLANELLI"
"10809","cy"
"10810","FAIRWAYS"
"10811","en"
"10812","LLETHRYD"
"10813","cy"
"10814","FALFIELD"
"10815","en"
"10816","MAFON"
"10817","cy"
"10818","FARMVILLE"
"10819","et"
"10820","MANSANT"
"10821","et"
"10822","FENVIOLET"
"10823","br"
"10824","FERNY"
"10825","en"
"10826","PENPRYS"
"10827","lt"
"10828","FIELDING"
"10829","en"
"10830","pl"
"10831","sl"
"10832","PLUGUFFAN"
"10833","cy"
"10834","FINCHLEY"
"10835","LADI"
"10836","sl"
"10837","sr"
"10838","no"
"10839","RUDD"
"10840","en"
"10841","no"
"10842","cy"
"10843","FIRWOOD"
"10844","lb"
"10845","LLANDYSUL"
"10846","cy"
"10847","SILOH"
"10848","cy"
"10849","FISHPONDS"
"10850","en"
"10851","SMYRNA"
"10852","en"
"10853","de"
"10854","pl"
"10855","FLAXLAND"
"10856","az"
"10857","SPURRELL"
"10858","en"
"10859","FLINT"
"10860","en"
"10861","fr"
"10862","nl"
"10863","TAFFS"
"10864","mt"
"10865","STANLLYD"
"10866","cy"
"10867","FLORENCE"
"10868","en"
"10869","pt"
"10870","fr"
"10871","FONMON"
"10872","da"
"10873","TREGONING"
"10874","et"
"10875","TRUBSHAW"
"10876","ga"
"10877","FORT"
"10878","en"
"10879","fr"
"10880","de"
"10881","TYISAF"
"10882","cy"
"10883","FRANK"
"10884","en"
"10885","pt"
"10886","fr"
"10887","FRESHMOOR"
"10888","uz"
"10889","WALLASEY"
"10890","qu"
"10891","GALAHAD"
"10892","en"
"10893","pl"
"10894","WAUNLLYSTIR"
"10895","sn"
"10896","GALSTON"
"10897","lv"
"10898","WAUNYCLUN"
"10899","cy"
"10900","WEPNER"
"10901","no"
"10902","GELYNIS"
"10903","cy"
"10904","WESTFA"
"10905","en"
"10906","BEREM"
"10907","tr"
"10908","pl"
"10909","sl"
"10910","GIBSON"
"10911","en"
"10912","pt"
"10913","nl"
"10914","GILWERN"
"10915","cy"
"10916","GOLEG"
"10917","cy"
"10918","DDERI"
"10919","cy"
"10920","GLANYMOR"
"10921","cy"
"10922","FFINANT"
"10923","cy"
"10924","BEILI"
"10925","cy"
"10926","LLIDIART-COCH"
"10927","cy"
"10928","UCHEL"
"10929","cy"
"10930","GLYNSTELL"
"10931","cy"
"10932","PENGRAIG"
"10933","id"
"10934","ANEDDFA"
"10935","cy"
"10936","GOLDSMITH"
"10937","en"
"10938","ga"
"10939","gd"
"10940","MORWYR"
"10941","cy"
"10942","RHOSYBONWEN"
"10943","cy"
"10944","GODWIN"
"10945","en"
"10946","nl"
"10947","ga"
"10948","WYRDDOL"
"10949","cy"
"10950","GOUGH"
"10951","ga"
"10952","gd"
"10953","CWARE"
"10954","cy"
"10955","TOP"
"10956","en"
"10957","es"
"10958","pt"
"10959","GRAHAM"
"10960","en"
"10961","pt"
"10962","fr"
"10963","HILLSIDE"
"10964","en"
"10965","LLWCHWR"
"10966","cy"
"10967","GRANTHAM"
"10968","ny"
"10969","ILSTON"
"10970","en"
"10971","GRASMERE"
"10972","en"
"10973","IS-Y-LLYN"
"10974","cy"
"10975","en"
"10976","es"
"10977","GREENCROFT"
"10978","en"
"10979","BRENNIN"
"10980","ha"
"10981","ISMYRDDIN"
"10982","cy"
"10983","GREENLAND"
"10984","en"
"10985","nl"
"10986","LINCOLN"
"10987","en"
"10988","es"
"10989","pt"
"10990","LLANDYRY"
"10991","tk"
"10992","GRENVILLE"
"10993","en"
"10994","LLECHYFEDACH"
"10995","cy"
"10996","GRISEDALE"
"10997","da"
"10998","no"
"10999","LLWYNMEREDYDD"
"11000","cy"
"11001","GROUSE"
"11002","en"
"11003","fr"
"11004","nl"
"11005","PARC-YR-YNN"
"11006","cy"
"11007","en"
"11008","fr"
"11009","LLWYNYBRYN"
"11010","cy"
"11011","GWBERT"
"11012","cy"
"11013","LLWYNCRWN"
"11014","cy"
"11015","PENRHIWGALED"
"11016","en"
"11017","LLWYNIFAN"
"11018","cy"
"11019","HACKERFORD"
"11020","da"
"11021","TRADE"
"11022","en"
"11023","pt"
"11024","pl"
"11025","ALYS"
"11026","cy"
"11027","HAIG"
"11028","en"
"11029","ca"
"11030","cy"
"11031","CENNECH"
"11032","cy"
"11033","HANBURY"
"11034","en"
"11035","HOLCWM"
"11036","tlh"
"11037","HANOVER"
"11038","en"
"11039","cs"
"11040","sk"
"11041","HARDY"
"11042","en"
"11043","fr"
"11044","de"
"11045","PENDDERI"
"11046","id"
"11047","HARLEQUIN"
"11048","en"
"11049","pl"
"11050","MORWR"
"11051","cy"
"11052","HARTLEY"
"11053","en"
"11054","FERIN"
"11055","ca"
"11056","cy"
"11057","HARVEY"
"11058","en"
"11059","fr"
"11060","de"
"11061","LLYSMORFA"
"11062","cy"
"11063","LLYSNEWYDD"
"11064","cy"
"11065","HAWFINCH"
"11066","en"
"11067","CENDY"
"11068","da"
"11069","HAZLITT"
"11070","en"
"11071","HAVARD"
"11072","da"
"11073","PRITCHARD"
"11074","cy"
"11075","HEATHER"
"11076","en"
"11077","fr"
"11078","nl"
"11079","CYWIN"
"11080","pl"
"11081","HEDEL"
"11082","nl"
"11083","TRESILLIAN"
"11084","en"
"11085","GRUGLAS"
"11086","en"
"11087","PRIOR"
"11088","en"
"11089","es"
"11090","pt"
"11091","MCKAYS"
"11092","tl"
"11093","HICKORY"
"11094","en"
"11095","fr"
"11096","nl"
"11097","MAENGWYNNE"
"11098","cy"
"11099","MAESAWELON"
"11100","br"
"11101","HILLARY"
"11102","en"
"11103","fr"
"11104","nl"
"11105","MAESCADER"
"11106","en"
"11107","HILLCREST"
"11108","ia"
"11109","DERWENYDD"
"11110","cy"
"11111","HILL-SNOOK"
"11112","en"
"11113","ELFRYN"
"11114","cy"
"11115","HOLGATE"
"11116","en"
"11117","NANTYGLASDWR"
"11118","LLIEDI"
"11119","it"
"11120","HORNBEAM"
"11121","en"
"11122","MARLOG"
"11123","cy"
"11124","HORWOOD"
"11125","en"
"11126","DOLAU"
"11127","id"
"11128","HOWELL'S"
"11129","en"
"11130","MAESYBRYN"
"11131","cy"
"11132","HUGON"
"11133","pl"
"11134","eo"
"11135","MAESCELYN"
"11136","en"
"11137","HURFORD"
"11138","en"
"11139","MAESDERI"
"11140","gl"
"11141","HURON"
"11142","en"
"11143","fr"
"11144","pl"
"11145","MAESGRENIG"
"11146","no"
"11147","ILEX"
"11148","en"
"11149","de"
"11150","MAESGRIFFITH"
"11151","cy"
"11152","MAESGWYN"
"11153","cy"
"11154","INCHMARNOCK"
"11155","de"
"11156","MAESLAN"
"11157","en"
"11158","JADE"
"11159","en"
"11160","es"
"11161","pt"
"11162","MAESOLBRI"
"11163","war"
"11164","MAESPIODE"
"11165","ga"
"11166","JEVAN"
"11167","mt"
"11168","MAESTIR"
"11169","cy"
"11170","ANTARON"
"11171","ms"
"11172","MAESTREF"
"11173","cy"
"11174","JONQUIL"
"11175","en"
"11176","MAESWERDD"
"11177","cy"
"11178","JUNCTION"
"11179","en"
"11180","pl"
"11181","MAESYBONT"
"11182","cy"
"11183","KANE"
"11184","en"
"11185","nl"
"11186","ga"
"11187","MAESYFFYNNON"
"11188","cy"
"11189","KELVIN"
"11190","en"
"11191","es"
"11192","pt"
"11193","MYDDYNFYCH"
"11194","cy"
"11195","KENFIG"
"11196","en"
"11197","BANADL"
"11198","cy"
"11199","NANTYMYNYDD"
"11200","cy"
"11201","KENLEY"
"11202","br"
"11203","VELINDRE"
"11204","da"
"11205","NANTFACH"
"11206","id"
"11207","KERRIGAN"
"11208","ga"
"11209","gd"
"11210","GRO"
"11211","en"
"11212","es"
"11213","pl"
"11214","KESTREL"
"11215","en"
"11216","et"
"11217","NANTLAIS"
"11218","cy"
"11219","KILCATTAN"
"11220","la"
"11221","NANTWEN"
"11222","lb"
"11223","KINCRAIG"
"11224","jw"
"11225","VIKING"
"11226","en"
"11227","pt"
"11228","fr"
"11229","NANTYBRYN"
"11230","cy"
"11231","KINGFISHER"
"11232","en"
"11233","NANTYFFIN"
"11234","cy"
"11235","KINGSTON"
"11236","en"
"11237","NEWTOWN"
"11238","en"
"11239","KIPLING"
"11240","en"
"11241","fr"
"11242","pl"
"11243","OAKLANDS"
"11244","en"
"11245","KYVEILOG"
"11246","fj"
"11247","UN"
"11248","en"
"11249","es"
"11250","fr"
"11251","TRAMWAY"
"11252","en"
"11253","fr"
"11254","LALESTON"
"11255","et"
"11256","PEDWAR"
"11257","cy"
"11258","OSTREY"
"11259","en"
"11260","LAMBOURNE"
"11261","en"
"11262","SIOR"
"11263","pl"
"11264","ga"
"11265","BRWYN"
"11266","cy"
"11267","LANGDALE"
"11268","no"
"11269","GEFN"
"11270","cy"
